iter	RMSE
0	0.6404821625
1	0.6216909679
2	0.6055570049
3	0.5895637909
4	0.5695691863
5	0.5549006998
6	0.5421219634
7	0.5297720883
8	0.5191182995
9	0.5064806527
10	0.4957270239
11	0.4886111548
12	0.4795277468
13	0.4717118207
14	0.4644993258
15	0.4568403842
16	0.4515812428
17	0.4452417775
18	0.4351202863
19	0.428729066
20	0.425585225
21	0.4203136441
22	0.4149388848
23	0.4114002131
24	0.4027341509
25	0.3964409336
26	0.3907959553
27	0.3858902147
28	0.3818284497
29	0.3775752582
30	0.3741722835
31	0.3713829892
32	0.3705491073
33	0.3685402082
34	0.3629613514
35	0.356224619
36	0.3536446791
37	0.3516858386
38	0.3496381888
39	0.3472974791
40	0.3459459317
41	0.3435160727
42	0.3417765531
43	0.3392795116
44	0.3366016073
45	0.3336673853
46	0.331710489
47	0.3298023152
48	0.3270021174
49	0.3256386542
50	0.3227190791
51	0.3201388548
52	0.3170189492
53	0.3148001588
54	0.3141884681
55	0.3124361924
56	0.3114288355
57	0.3104151999
58	0.3083412882
59	0.3052846771
60	0.3022026376
61	0.2991273213
62	0.2976089175
63	0.2951703626
64	0.293761158
65	0.2911498985
66	0.28871908
67	0.2875378502
68	0.2871416929
69	0.2853719873
70	0.2832438887
71	0.2812406459
72	0.2800053869
73	0.2780170427
74	0.2759234364
75	0.2743216249
76	0.2729317833
77	0.2697694338
78	0.2661999027
79	0.2638098003
80	0.261905934
81	0.2603013671
82	0.2580052988
83	0.2549231476
84	0.253253438
85	0.2518832448
86	0.2515415406
87	0.2491327924
88	0.2474622327
89	0.2456586911
90	0.2445162518
91	0.2428076515
92	0.2408625046
93	0.2389414286
94	0.2360978423
95	0.2345439017
96	0.2321242485
97	0.2304379879
98	0.2300964748
99	0.2277038535
100	0.225989181
101	0.224873435
102	0.2230584728
103	0.2225449084
104	0.2203644926
105	0.2182204327
106	0.2168408378
107	0.2155262068
108	0.2151218841
109	0.2133379471
110	0.2118206058
111	0.2106118165
112	0.2087538088
113	0.2084566233
114	0.2073690727
115	0.2070339245
116	0.2058402747
117	0.2055297402
118	0.2051436143
119	0.2048478362
120	0.204577141
121	0.2043298676
122	0.2040945753
123	0.2037735077
124	0.2032868113
125	0.2012344767
126	0.2002004453
127	0.1985385284
128	0.1967623286
129	0.1965377038
130	0.1955806908
131	0.1930820105
132	0.1928642062
133	0.1912320572
134	0.1901784116
135	0.1893683316
136	0.1891649913
137	0.1880990214
138	0.1873143054
139	0.1863460806
140	0.1854166364
141	0.1835122933
142	0.1822743005
143	0.1811457526
144	0.1802072445
145	0.1791312698
146	0.1789004133
147	0.1780631494
148	0.1778813351
149	0.1764869837
150	0.1763027326
151	0.1750433905
152	0.1741032317
153	0.173397026
154	0.1732385475
155	0.1718527072
156	0.170846158
157	0.170691796
158	0.1699732459
159	0.1698181759
160	0.1691384479
161	0.1689734964
162	0.168223883
163	0.1679861373
164	0.1673618225
165	0.1665711307
166	0.1651919205
167	0.1641521495
168	0.1634181644
169	0.1630835457
170	0.1622292875
171	0.1620733346
172	0.1604649275
173	0.159404817
174	0.1591760248
175	0.1582824172
176	0.1579665937
177	0.1573071699
178	0.1563611926
179	0.1552984311
180	0.1542001597
181	0.1536413482
182	0.1533844228
183	0.1525926104
184	0.1521847815
185	0.1511625283
186	0.14994856
187	0.1488920677
188	0.1483099032
189	0.1470136234
190	0.1462891586
191	0.1457012629
192	0.1450040147
193	0.1445268623
194	0.144033418
195	0.1432128585
196	0.1426689503
197	0.141595905
198	0.1414666128
199	0.140943607
200	0.1405622015
201	0.1403812213
202	0.1393428979
203	0.138981518
204	0.1388077503
205	0.1380544521
206	0.1378419186
207	0.137270476
208	0.1369856556
209	0.1361185282
210	0.1359734929
211	0.1358312621
212	0.1347834371
213	0.1338927829
214	0.1333537169
215	0.1327656044
216	0.1320629652
217	0.1316279376
218	0.1310971879
219	0.1301322523
220	0.1299428659
221	0.1295873405
222	0.1287407632
223	0.1279500614
224	0.1268765265
225	0.1264261386
226	0.1254789972
227	0.125355527
228	0.124235679
229	0.1240178543
230	0.1232013496
231	0.1230729665
232	0.1229068908
233	0.1220825691
234	0.1216834477
235	0.1213274783
236	0.1209960674
237	0.1208828317
238	0.1207687374
239	0.1206546077
240	0.120341693
241	0.1193897917
242	0.1185989455
243	0.1179092357
244	0.1178041879
245	0.1177039437
246	0.117176812
247	0.1169299353
248	0.1165810892
249	0.1164816018
250	0.1157597891
251	0.1148467503
252	0.1143831168
253	0.1138239206
254	0.1135272644
255	0.1130183276
256	0.1127446792
257	0.1126434118
258	0.1122802741
259	0.1118699393
260	0.1116720767
261	0.1109271907
262	0.110585781
263	0.1104882763
264	0.1098755451
265	0.1095004774
266	0.109227453
267	0.108826883
268	0.1087532468
269	0.108275561
270	0.108185833
271	0.1080090543
272	0.1073309373
273	0.1066382585
274	0.1060476461
275	0.1057718209
276	0.1054314357
277	0.105324218
278	0.1052113337
279	0.1049420877
280	0.1040628478
281	0.1034424297
282	0.1031009647
283	0.102706665
284	0.1025698086
285	0.1020687919
286	0.1019357803
287	0.1015614752
288	0.1014472205
289	0.1013732706
290	0.1007290811
291	0.1003533479
292	0.09988276596
293	0.09921084259
294	0.09877037717
295	0.09867971247
296	0.09829541025
297	0.0981862168
298	0.097447706
299	0.09691056558
