iter	Passed	Remaining
0	53	16033
1	65	9803
2	75	7518
3	83	6182
4	87	5153
5	90	4444
6	95	4008
7	113	4126
8	121	3923
9	134	3891
10	142	3732
11	154	3719
12	158	3504
13	168	3437
14	182	3462
15	190	3390
16	197	3288
17	206	3238
18	215	3189
19	224	3143
20	239	3184
21	247	3123
22	255	3076
23	265	3048
24	274	3016
25	282	2978
26	298	3017
27	305	2972
28	315	2946
29	326	2936
30	334	2900
31	341	2861
32	353	2857
33	360	2820
34	366	2778
35	376	2760
36	387	2755
37	395	2727
38	402	2693
39	422	2746
40	431	2726
41	443	2726
42	447	2672
43	459	2674
44	475	2695
45	491	2713
46	506	2728
47	519	2726
48	527	2703
49	542	2711
50	551	2691
51	556	2652
52	560	2613
53	590	2691
54	600	2674
55	608	2651
56	616	2627
57	626	2613
58	632	2583
59	641	2564
60	647	2536
61	655	2515
62	662	2492
63	667	2462
64	704	2547
65	710	2520
66	715	2486
67	720	2456
68	730	2447
69	747	2455
70	758	2446
71	768	2433
72	778	2420
73	793	2424
74	803	2409
75	821	2422
76	831	2408
77	844	2404
78	859	2405
79	868	2388
80	877	2372
81	894	2378
82	908	2374
83	923	2375
84	933	2360
85	942	2346
86	955	2338
87	968	2332
88	976	2314
89	992	2315
90	1003	2305
91	1018	2302
92	1034	2303
93	1047	2296
94	1068	2305
95	1087	2309
96	1096	2293
97	1114	2296
98	1132	2300
99	1150	2301
100	1160	2287
101	1182	2294
102	1191	2278
103	1207	2275
104	1217	2261
105	1237	2264
106	1254	2262
107	1271	2261
108	1287	2256
109	1299	2243
110	1313	2235
111	1328	2229
112	1344	2224
113	1360	2219
114	1374	2211
115	1381	2192
116	1393	2178
117	1402	2162
118	1412	2147
119	1421	2132
120	1432	2119
121	1439	2100
122	1447	2083
123	1455	2066
124	1463	2048
125	1470	2030
126	1474	2008
127	1484	1994
128	1491	1977
129	1499	1960
130	1506	1943
131	1520	1935
132	1525	1915
133	1536	1903
134	1541	1883
135	1548	1867
136	1558	1854
137	1566	1838
138	1572	1820
139	1581	1807
140	1593	1796
141	1603	1784
142	1611	1768
143	1628	1764
144	1636	1749
145	1651	1741
146	1665	1733
147	1681	1726
148	1693	1715
149	1700	1700
150	1710	1687
151	1717	1671
152	1727	1659
153	1731	1641
154	1735	1623
155	1742	1608
156	1750	1594
157	1760	1581
158	1767	1567
159	1772	1551
160	1779	1536
161	1787	1523
162	1795	1508
163	1802	1495
164	1809	1480
165	1818	1468
166	1827	1455
167	1845	1450
168	1851	1435
169	1862	1423
170	1869	1410
171	1878	1397
172	1885	1384
173	1890	1368
174	1902	1358
175	1908	1344
176	1917	1332
177	1926	1320
178	1931	1305
179	1934	1289
180	1940	1275
181	1946	1261
182	1955	1250
183	1966	1239
184	1978	1230
185	1991	1220
186	1999	1208
187	2011	1198
188	2024	1188
189	2034	1178
190	2050	1170
191	2063	1160
192	2069	1147
193	2078	1135
194	2085	1122
195	2090	1109
196	2095	1095
197	2101	1082
198	2111	1071
199	2116	1058
200	2128	1048
201	2137	1036
202	2144	1024
203	2147	1010
204	2159	1000
205	2168	989
206	2175	977
207	2183	965
208	2200	958
209	2208	946
210	2214	934
211	2222	922
212	2231	911
213	2237	899
214	2242	886
215	2251	875
216	2259	864
217	2263	851
218	2274	841
219	2281	829
220	2290	818
221	2297	807
222	2304	795
223	2315	785
224	2327	775
225	2336	765
226	2342	753
227	2351	742
228	2359	731
229	2367	720
230	2372	708
231	2386	699
232	2396	689
233	2402	677
234	2414	667
235	2420	656
236	2429	645
237	2433	634
238	2439	622
239	2447	611
240	2456	601
241	2461	589
242	2468	578
243	2473	567
244	2481	557
245	2489	546
246	2498	536
247	2506	525
248	2512	514
249	2522	504
250	2526	493
251	2536	483
252	2546	472
253	2549	461
254	2559	451
255	2566	441
256	2572	430
257	2583	420
258	2589	409
259	2597	399
260	2604	389
261	2614	379
262	2621	368
263	2629	358
264	2636	348
265	2643	337
266	2651	327
267	2659	317
268	2667	307
269	2677	297
270	2684	287
271	2692	277
272	2698	266
273	2705	256
274	2714	246
275	2723	236
276	2731	226
277	2739	216
278	2746	206
279	2753	196
280	2761	186
281	2769	176
282	2775	166
283	2783	156
284	2791	146
285	2798	137
286	2809	127
287	2821	117
288	2826	107
289	2845	98
290	2852	88
291	2862	78
292	2876	68
293	2886	58
294	2900	49
295	2911	39
296	2923	29
297	2929	19
298	2932	9
299	2942	0
